supermercado,producto_buscado,nombre,precio
Plazavea,laptop,Mi Primera Laptop de Aprendizaje FISHER-PRICE Ríe y Aprende,134.9
Plazavea,laptop,Funda para Laptop BLACKLINE 15'' Executive 2 Rojo,59.9
Plazavea,laptop,"Laptop ASUS Vivobook Go 15 OLED E1504FA-L1112W 15.6"" AMD Ryzen 5 (7000 series) 8GB 512GB SSD",1849.0
Plazavea,laptop,Laptop MSI Katana 17 B13VFK Intel Core i7 13620H 16GB RAM 512GB SSD 8GB RTX 4060 17.3 FHD Windows 11,6299.0
Plazavea,laptop,"Laptop HP 15-ef2526la 15.6"" AMD Ryzen 7 (5000 series) 12GB 512GB SSD",2169.0
Plazavea,laptop,"Laptop ASUS TUF Gaming A15 FA506NF-HN005W 15.6"" AMD Ryzen 5 (7000 series) 8GB 512GB SSD",2799.0
Plazavea,laptop,Macbook Air APPLE MWTK2LL/A 13.3'' IntelCore I3 Space 256GB Gray,4099.0
Plazavea,laptop,Mochila Portalaptop CLASS&WORK AZUL 1155,29.9
Plazavea,laptop,Mochila Portalaptop CLASS&WORK Negro 1155,29.9
Plazavea,laptop,"Laptop Acer AL15-41P-R9CR AMD Ryzen™ 7 5700U 16GB RAM 1TB 15.6""",2049.0
Metro,laptop,Soporte Plegable Kuzler de Laptop,24.9
Metro,laptop,Primer Laptop Aprendizaje Fisher-Price,84.9
Metro,laptop,"Fiddler Cooler para Laptop 15""",49.9
Metro,laptop,Laptop Lenovo Intel Core i3 8Gb 512Gb SSD Ideapad Slim 3i 15.6'',1449.0
Metro,laptop,"Laptop Lenovo LOQ Intel Core i5 12va Gen. 8GB RAM 512GB SSD 15.6""",2749.0
Metro,laptop,Laptop Lenovo Intel Core i5 8Gb 512Gb SSD Ideapad Slim 3i 15.6'',1849.0
Vivanda,laptop,Funda para Laptop BLACKLINE 15'' Executive 2 Rojo,59.9
Vivanda,laptop,Laptop HP 15-DY2503 15.6'' Intel Core i5 11va generación 8GB 512GB SSD,0.0
Vivanda,laptop,"Laptop Gamer Victus HP 15-fb0109la 15"" AMD Ryzen 7 (5000 series) 16GB 512GB SSD",0.0
Vivanda,laptop,"Laptop Gamer Victus HP 16-d0503la 16.1"" Intel Core i5 11va generación 8GB 256GB SSD",4199.0
Vivanda,laptop,"Laptop Gamer ACER Nitro 5 AN515-45-R6MS 15.6"" AMD Ryzen 5 (5000 series) 8GB 512GB SSD GTX 1650",0.0
Vivanda,laptop,Laptop HP 15-dy2059la 15'' Intel Core i3 11va generación 8GB 256GB SSD,0.0
Vivanda,laptop,"Laptop ACER Aspire 5 A515-54-585N 15.6"" Intel Core i5 10ma generación 8GB 256GB SSD",0.0
Vivanda,laptop,"Laptop ASUS M3401QC-KM160W 14"" AMD Ryzen 5 (6000 series) 8GB 512GB SSD",4999.0
Vivanda,laptop,Laptop Gamer HP 16-c0501la 16.1'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD,5099.0
Vivanda,laptop,Laptop HP 15-dy5010la 15.6'' Intel Core i7 12va generación 12GB 512GB SSD,0.0
